name,latitude,longitude,stf,st
Alabama,32.31823,-86.902298,AL,al
Alaska,66.160507,-153.369141,AK,ak
Arizona,34.048927,-111.093735,AZ,az
Arkansas,34.799999,-92.199997,AK,ak
California,36.778259,-119.417931,CA,ca
Colorado,39.113014,-105.358887,CO,co
Connecticut,41.599998,-72.699997,CT,ct
Delaware,39,-75.5,DE,de
Florida,27.994402,-81.760254,FL,fl
Georgia,33.247875,-83.441162,GA,ga
Hawaii,19.741755,-155.844437,HI,hi
Idaho,44.068203,-114.742043,ID,id
Illinois,40,-89,IL,il
Indiana,40.273502,-86.126976,IN,in
Iowa,42.032974,-93.581543,IA,ia
Kansas,38.5,-98,KS,ks
Kentucky,37.839333,-84.27002,KY,ky
Louisiana,30.39183,-92.329102,LA,la
Maine,45.367584,-68.972168,ME,me
Maryland,39.045753,-76.641273,MD,md
Massachusetts,42.407211,-71.382439,MA,ma
Michigan,44.182205,-84.506836,MI,mi
Minnesota,46.39241,-94.63623,MN,mn
Mississippi,33,-90,MS,ms
Missouri,38.573936,-92.60376,MO,mo
Montana,46.96526,-109.533691,MT,mt
Nebraska,41.5,-100,NE,ne
Nevada,39.876019,-117.224121,NV,nv
New Hampshire,44,-71.5,NH,nh
New Jersey,39.833851,-74.871826,NJ,nj
New Mexico,34.307144,-106.018066,NM,nm
New York,43,-75,NY,ny
North Carolina,35.782169,-80.793457,NC,nc
North Dakota,47.650589,-100.437012,ND,nd
Ohio,40.367474,-82.996216,OH,oh
Oklahoma,36.084621,-96.921387,OK,ok
Oregon,44,-120.5,OR,or
Pennsylvania,41.203323,-77.194527,PA,pa
Rhode Island,41.700001,-71.5,RI,ri
South Carolina,33.836082,-81.163727,SC,sc
South Dakota,44.5,-100,SD,sd
Tennessee,35.860119,-86.660156,TN,tn
Texas,31,-100,TX,tx
Utah,39.41922,-111.950684,UT,ut
Vermont,44,-72.699997,VT,vt
Virginia,37.926868,-78.024902,VA,va
Washington,47.751076,-120.740135,WA,wa
West Virginia,39,-80.5,WV,wv
Wisconsin,44.5,-89.5,WI,wi
Wyoming,43.07597,-107.290283,WY,wy
